Estadio,Capacidad,Ciudad,País,Inaug.,Remod.,Club / Selección
Kazán Arena,45 397,Kazán,Rusia,2013,,Rubin Kazan
Mordovia Arena,45 100,Saransk,Rusia Rusia,2017,-,FC Mordovia Saransk
Estadio de Kaliningrado,45 015,Kaliningrado,Rusia,2017,,FC Baltika Kaliningrado
Municipal de Wrocław,44 901,Wrocław,Polonia,2011,-,Śląsk Wrocław
Red Bull Arena,44 199,Leipzig,Alemania,1956,2004,RB Leipzig
Otkrytie Arena,44 000,Moscú,Rusia,2014,-,FC Spartak de Moscú
Rostov Arena,43 702,Rostov del Don,Rusia Rusia,2017,-,FC Rostov
Olímpico de Sochi,43 702,Sochi,Rusia,2012,-,Selección de fútbol de Rusia
Timsah Arena,43 330,Bursa,Turquía,2015,-,Bursaspor
Municipal de Poznań,43 269,Poznań,Polonia,1980,2010,"Lech Poznan, Warta Poznań"
Vasil Levski,43 230,Sofía,Bulgaria,1953,2002,Selección de fútbol de Bulgaria
Ullevi,43 200,Gotenburgo,Suecia,1958,-,"IFK Göteborg, BK Häcken, Örgryte IS"
AWD-Arena,43 000,Hannover,Alemania,1991,2003,Hannover 96
Villa Park,43 000,Birmingham,Inglaterra,1874,1996,Aston Villa Football Club
Estadio Matmut Atlantique,43 000,Burdeos,Francia,2015,-,Girondins de Burdeos
Estadio Ramón Sánchez-Pizjuán,42 500,Sevilla,España,1958,2015,Sevilla Fútbol Club
Parken,42 305,Copenhague,Dinamarca,1992,2009,"FC Copenhague, Selección de fútbol de Dinamarca"
Stade de Gerland,42 200,Lyon,Francia,1920,-,
Arena Gdansk,42 105,Gdansk,Polonia,2011,-,Lechia Gdańsk
Estadio Geoffroy-Guichard,42 000,Saint-Étienne,Francia,1931,2014,AS Saint-Étienne
Torku Arena,42 000,Konya,Turquía,2014,-,Konyaspor
Vodafone Arena,41 903,Estambul,Turquía,2016,-,Beşiktaş JK
Stamford Bridge,41 837,Londres,Inglaterra,1887,1990,Chelsea F.C.
Cornellà-El Prat,40 500,Barcelona,España,2009,-,RCD Español
